Epoch,Dropout 0.0,Dropout 0.3,Dropout 0.6,Dropout 0.8
1,5.9896,5.7092,5.726,5.7783
2,5.2798,5.2995,5.3197,5.4355
3,5.0476,5.0599,5.0857,5.2571
4,4.9016,4.9277,4.9658,5.1369
5,4.8588,4.8464,4.8813,5.0802
6,4.8064,4.7789,4.8444,5.0467
7,4.8221,4.7535,4.7974,5.0013
8,4.8294,4.7374,4.7528,4.9685
9,4.8395,4.7638,4.726,4.9559
10,4.8436,4.7386,4.7235,4.9529
11,4.8436,4.7469,4.6906,4.8245
12,4.8436,4.7469,4.6906,4.8245
13,4.8436,4.7469,4.6906,4.8245
14,4.8436,4.7469,4.6906,4.8245
15,4.8436,4.7469,4.6906,4.8245
16,4.8436,4.7469,4.6906,4.8245
17,4.8436,4.7469,4.6906,4.8245
18,4.8436,4.7469,4.6906,4.8245
19,4.8436,4.7469,4.6906,4.8245
20,4.8436,4.7469,4.6906,4.8245
21,4.8436,4.7469,4.6906,4.8245
22,4.8436,4.7469,4.6906,4.8245
23,4.8436,4.7469,4.6906,4.8245
24,4.8436,4.7469,4.6906,4.8245
25,4.8436,4.7469,4.6906,4.8245
26,4.8436,4.7469,4.6906,4.8245
27,4.8436,4.7469,4.6906,4.8245
28,4.8436,4.7469,4.6906,4.8245
29,4.8436,4.7469,4.6906,4.8245
30,4.8436,4.7469,4.6906,4.8245
31,4.8436,4.7469,4.6906,4.8245
32,4.8436,4.7469,4.6906,4.8245
33,4.8436,4.7469,4.6906,4.8245
34,4.8436,4.7469,4.6906,4.8245
35,4.8436,4.7469,4.6906,4.8245
36,4.8436,4.7469,4.6906,4.8245
37,4.8436,4.7469,4.6906,4.8245
38,4.8436,4.7469,4.6906,4.8245
39,4.8436,4.7469,4.6906,4.8245
40,4.8436,4.7469,4.6906,4.8245
